t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.1661999,-2.836372,1.951069,19.51068,19.03334,0
0.1667999,-2.835197,1.957876,19.57876,19.16639,0
0.1673999,-2.834018,1.96468,19.6468,19.29984,0
0.1679999,-2.832836,1.971482,19.71482,19.4337,0
0.1685999,-2.831649,1.978281,19.78281,19.56797,0
0.1691999,-2.830457,1.985077,19.85077,19.70265,0
0.1697999,-2.829262,1.99187,19.9187,19.83773,0
0.1703999,-2.828063,1.99866,19.9866,19.97321,0
0.1709999,-2.82686,2.005448,20.05448,20.1091,0
0.1715999,-2.825652,2.012232,20.12232,20.24539,0
0.1721999,-2.824441,2.019014,20.19014,20.38208,0
0.1727999,-2.823225,2.025792,20.25792,20.51917,0
0.1733999,-2.822006,2.032568,20.32568,20.65667,0
0.1739999,-2.820782,2.039341,20.39341,20.79456,0
0.1745999,-2.819555,2.046111,20.46111,20.93285,0
0.1751999,-2.818323,2.052878,20.52878,21.07154,0
0.1757998,-2.817087,2.059642,20.59642,21.21062,0
0.1763998,-2.815848,2.066403,20.66403,21.35011,0
0.1769998,-2.814604,2.073161,20.73161,21.48998,0
0.1775998,-2.813356,2.079916,20.79916,21.63025,0
0.1781998,-2.812104,2.086668,20.86668,21.77092,0
0.1787998,-2.810848,2.093417,20.93417,21.91198,0
0.1793998,-2.809588,2.100163,21.00163,22.05343,0
0.1799998,-2.808324,2.106906,21.06906,22.19527,0
0.1805998,-2.807056,2.113646,21.13646,22.3375,0
0.1811998,-2.805784,2.120383,21.20383,22.48013,0
0.1817998,-2.804507,2.127117,21.27117,22.62314,0
0.1823998,-2.803227,2.133848,21.33848,22.76653,0
0.1829998,-2.801943,2.140576,21.40576,22.91032,0
0.1835998,-2.800654,2.1473,21.473,23.05449,0
0.1841998,-2.799362,2.154022,21.54022,23.19905,0
0.1847998,-2.798065,2.16074,21.6074,23.34399,0
0.1853998,-2.796765,2.167455,21.67455,23.48932,0
0.1859998,-2.79546,2.174168,21.74168,23.63503,0
0.1865998,-2.794152,2.180877,21.80877,23.78112,0
0.1871998,-2.792839,2.187583,21.87583,23.92759,0
0.1877998,-2.791523,2.194286,21.94286,24.07445,0
0.1883997,-2.790202,2.200985,22.00985,24.22168,0
0.1889997,-2.788877,2.207682,22.07682,24.36929,0
0.1895997,-2.787549,2.214375,22.14375,24.51728,0
0.1901997,-2.786216,2.221065,22.21065,24.66565,0
0.1907997,-2.78488,2.227752,22.27752,24.81439,0
0.1913997,-2.783539,2.234436,22.34436,24.96352,0
0.1919997,-2.782194,2.241116,22.41116,25.11301,0
0.1925997,-2.780846,2.247793,22.47793,25.26287,0
0.1931997,-2.779493,2.254467,22.54467,25.41312,0
0.1937997,-2.778136,2.261138,22.61138,25.56373,0
